HorasEstudio,Calificacion
3.79,15
6.08,26.1
7.17,29
7.54,31.9
8.18,34.8
8.32,37.7
8.99,40.6
9.81,45
10.09,46.4
10.45,49.3
10.58,52.2
11.03,55.1
11.96,58
12.25,70
12.45,71.3
12.61,72.6
12.79,73.9
13.15,75.2
13.18,76.5
13.25,77.8
13.39,79.1
13.59,80.4
14.18,81.7
14.49,83
14.58,84.3
14.62,85.6
14.63,86.9
15.25,88.2
15.33,89.5
15.51,90.8
15.6,92.1
15.64,93.4
15.78,94.7
16.61,96
17.04,97.3
17.11,93
17.46,99
17.8,97
17.91,99
18.81,96
18.92,97
19.82,92
19.88,93
19.98,99
20,91
20,91
20,96
20,97
20,98
20,99
