HorasEstudio,Calificacion
3.79,40
6.08,26.1
7.17,29
7.54,31.9
8.18,34.8
8.32,37.7
8.99,70
9.81,68
10.09,60
10.45,62
10.58,52.2
11.03,61
11.96,58
12.25,70
12.45,71.3
12.61,72.6
12.79,73.9
13.15,75.2
13.18,76.5
13.25,77.8
13.39,79.1
13.59,80.4
14.18,81.7
14.49,62
14.58,72
14.62,83
14.63,86.9
15.25,77
15.33,85
15.51,78
15.6,92.1
15.64,93.4
15.78,94.7
16.61,96
17.04,97.3
17.11,93
17.46,99
17.8,85
17.91,99
18.81,96
18.92,97
19.82,56
19.88,93
19.98,99
20,91
20,98
20,91
20,96
20,99
20,97
